enrollment_id,student_id,program_name,program,start_date,end_date,status,cohort,site
ENR2419,STU0051,College Prep 101,College Prep 101,12 Sep 2023,,dropout,Sp24,Pilsen
ENR9672,STU0052,After School Math,After School Math,2023-08-27,11/13/2023,completed,,Hyde Park
ENR6863,STU0052,Summer Bridge,Summer Bridge,08-01-2023,11/22/2023,dropout,Fall23,Englewood
ENR2488,STU0053,College Prep 101,College Prep 101,10 Oct 2023,2024-01-06,active,Sp24,Pilsen
ENR2515,STU0054,Literacy First,Literacy First,04 Aug 2023,"October 11, 2023",Dropped,Sp24,Englewood
ENR6762,STU0055,College Prep 101,College Prep 101,09/06/2023,15 Dec 2023,active,Fall 2023,Englewood
ENR7833,STU0055,STEM Bootcamp,STEM Bootcamp,"September 02, 2023",2024-01-21,completed,Fall 2023,West Loop
ENR2084,STU0056,College Prep 101,College Prep 101,2023-10-23,"February 28, 2024",,,Englewood
ENR2793,STU0056,Summer Bridge,Summer Bridge,"August 04, 2023",10/31/2023,Dropped,,Hyde Park
ENR8698,STU0057,After School Math,After School Math,2023-08-04,12-03-2023,ACTIVE,Sp24,Hyde Park
ENR4981,STU0057,Summer Bridge,Summer Bridge,2023-09-06,2024-02-08,completed,Fall23,West Loop
ENR4480,STU0058,STEM Bootcamp,STEM Bootcamp,01 Aug 2023,,completed,,South Side
ENR6517,STU0059,College Prep 101,College Prep 101,2023-10-01,"March 26, 2024",active,,West Loop
ENR6591,STU0060,Summer Bridge,Summer Bridge,"August 28, 2023","November 26, 2023",Active,Fall 2023,West Loop
ENR5613,STU0060,College Prep 101,College Prep 101,2023-08-25,02/19/2024,completed,Spring 2024,West Loop
ENR3348,STU0060,Literacy First,Literacy First,06 Aug 2023,11/28/2023,,Spring 2024,South Side
ENR2717,STU0061,College Prep 101,College Prep 101,2023-10-10,12-19-2023,Completed,,Englewood
ENR6595,STU0062,After School Math,After School Math,28 Aug 2023,02-24-2024,dropout,Fall 2023,Hyde Park
ENR3592,STU0063,Literacy First,Literacy First,2023-09-13,,active,,Englewood
ENR1867,STU0064,After School Math,After School Math,10-25-2023,29 Mar 2024,dropout,Sp24,Hyde Park
ENR4291,STU0064,College Prep 101,College Prep 101,04 Sep 2023,01/05/2024,,Fall 2023,Englewood
ENR9443,STU0065,After School Math,After School Math,2023-09-20,"February 11, 2024",completed,Spring 2024,Englewood
ENR4991,STU0065,College Prep 101,College Prep 101,"October 11, 2023",2024-02-17,Active,Fall 2023,Pilsen
ENR9087,STU0065,,STEM Bootcamp,09/15/2023,01-24-2024,active,Fall23,Englewood
ENR3473,STU0066,After School Math,After School Math,"October 18, 2023",15 Feb 2024,active,Sp24,Hyde Park
ENR4578,STU0067,,College Prep 101,2023-09-02,11-17-2023,dropout,Spring 2024,Englewood
ENR7313,STU0067,Summer Bridge,Summer Bridge,09/14/2023,12/14/2023,,Fall 2023,South Side
ENR9742,STU0068,College Prep 101,College Prep 101,15 Aug 2023,"December 25, 2023",,Sp24,Pilsen
ENR9865,STU0069,Summer Bridge,Summer Bridge,08/26/2023,07 Dec 2023,completed,Fall23,Pilsen
ENR7517,STU0070,STEM Bootcamp,STEM Bootcamp,2023-10-07,"January 13, 2024",active,Fall 2023,
ENR2774,STU0071,STEM Bootcamp,STEM Bootcamp,26 Oct 2023,01-20-2024,dropout,,Englewood
ENR1969,STU0072,After School Math,After School Math,09 Sep 2023,"February 01, 2024",Active,,Hyde Park
ENR5998,STU0073,After School Math,After School Math,18 Oct 2023,"April 14, 2024",Active,Spring 2024,West Loop
ENR2959,STU0073,College Prep 101,College Prep 101,25 Oct 2023,02-14-2024,Active,Sp24,Pilsen
ENR6196,STU0074,Summer Bridge,Summer Bridge,08/13/2023,2023-11-05,completed,Sp24,Englewood
ENR7672,STU0075,Literacy First,Literacy First,08-01-2023,"December 23, 2023",,Sp24,South Side
ENR5800,STU0075,Summer Bridge,Summer Bridge,2023-08-11,02 Feb 2024,dropout,Fall 2023,West Loop
ENR6503,STU0075,After School Math,After School Math,2023-10-24,"February 27, 2024",Dropped,Fall 2023,South Side
ENR1080,STU0076,Summer Bridge,Summer Bridge,10/13/2023,09 Apr 2024,Active,Spring 2024,Pilsen
ENR5562,STU0077,Summer Bridge,Summer Bridge,09-23-2023,30 Jan 2024,active,Fall23,Pilsen
ENR9801,STU0078,Summer Bridge,Summer Bridge,2023-08-27,01/22/2024,Completed,Spring 2024,South Side
ENR4137,STU0079,After School Math,After School Math,01 Sep 2023,02-26-2024,completed,Spring 2024,West Loop
ENR6728,STU0080,After School Math,After School Math,28 Sep 2023,26 Jan 2024,ACTIVE,Fall 2023,Pilsen
ENR8695,STU0080,STEM Bootcamp,STEM Bootcamp,"September 14, 2023",02-15-2024,Active,Fall23,
ENR7832,STU0081,College Prep 101,College Prep 101,09/19/2023,"December 19, 2023",completed,Fall23,Englewood
ENR4889,STU0082,After School Math,After School Math,"October 05, 2023",03-18-2024,,Spring 2024,Englewood
ENR3471,STU0083,Literacy First,Literacy First,08/18/2023,2024-02-10,active,,Hyde Park
ENR1256,STU0083,STEM Bootcamp,STEM Bootcamp,09-05-2023,,dropout,Sp24,
ENR3263,STU0084,Literacy First,Literacy First,09/24/2023,01/17/2024,completed,Fall23,Englewood
ENR7814,STU0084,College Prep 101,College Prep 101,08/10/2023,27 Dec 2023,ACTIVE,,Englewood
ENR7412,STU0085,After School Math,After School Math,07 Oct 2023,"March 09, 2024",Active,Fall 2023,West Loop
ENR2821,STU0086,Summer Bridge,Summer Bridge,2023-10-26,12-25-2023,Completed,Sp24,West Loop
ENR5572,STU0087,Summer Bridge,Summer Bridge,09 Aug 2023,02-04-2024,,,
ENR7967,STU0088,Literacy First,Literacy First,09-28-2023,03-01-2024,ACTIVE,Spring 2024,Pilsen
ENR4892,STU0089,Literacy First,Literacy First,09/24/2023,,,,Pilsen
ENR3018,STU0090,STEM Bootcamp,STEM Bootcamp,"September 02, 2023",02 Jan 2024,completed,Fall23,South Side
ENR9211,STU0091,Literacy First,Literacy First,"October 17, 2023","April 08, 2024",Active,,South Side
ENR6890,STU0092,STEM Bootcamp,STEM Bootcamp,2023-09-01,12-20-2023,Active,,Englewood
ENR3964,STU0093,,After School Math,2023-10-22,"March 13, 2024",ACTIVE,,South Side
ENR9836,STU0093,College Prep 101,College Prep 101,2023-09-11,"January 19, 2024",Completed,Fall23,
ENR2370,STU0094,Literacy First,Literacy First,09/10/2023,11-24-2023,Completed,Spring 2024,Hyde Park
ENR1406,STU0094,After School Math,After School Math,"October 04, 2023",28 Dec 2023,Completed,,South Side
ENR8208,STU0095,Summer Bridge,Summer Bridge,2023-09-21,01-24-2024,dropout,Fall23,Hyde Park
ENR1099,STU0095,Literacy First,Literacy First,03 Oct 2023,12 Dec 2023,active,Spring 2024,Hyde Park
ENR7478,STU0096,Summer Bridge,Summer Bridge,"August 02, 2023",,dropout,Spring 2024,
ENR2929,STU0097,STEM Bootcamp,STEM Bootcamp,10/22/2023,,Completed,Spring 2024,Englewood
ENR2142,STU0098,College Prep 101,College Prep 101,09/28/2023,2023-12-20,Dropped,Fall 2023,
ENR7100,STU0099,Literacy First,Literacy First,16 Oct 2023,"April 04, 2024",ACTIVE,,Englewood
ENR7726,STU0100,Literacy First,Literacy First,2023-08-07,01/03/2024,active,Fall23,Englewood
ENR6759,STU0101,Summer Bridge,Summer Bridge,08/10/2023,,active,Sp24,
ENR6699,STU0101,Literacy First,Literacy First,09-19-2023,,,Sp24,Englewood
ENR4843,STU0102,Summer Bridge,Summer Bridge,02 Sep 2023,"January 05, 2024",dropout,Sp24,South Side
ENR6032,STU0103,College Prep 101,College Prep 101,03 Oct 2023,,Dropped,Spring 2024,
ENR7856,STU0104,Literacy First,Literacy First,"September 12, 2023","December 09, 2023",ACTIVE,Sp24,Pilsen
ENR6036,STU0105,After School Math,After School Math,21 Oct 2023,03/31/2024,ACTIVE,Fall 2023,West Loop
ENR4622,STU0106,After School Math,After School Math,26 Aug 2023,12/02/2023,Active,Spring 2024,Pilsen
ENR1235,STU0107,Summer Bridge,Summer Bridge,26 Aug 2023,"November 08, 2023",Dropped,Spring 2024,Pilsen
ENR1013,STU0108,Summer Bridge,Summer Bridge,"August 28, 2023",2024-01-12,Completed,Fall 2023,Hyde Park
ENR9055,STU0108,College Prep 101,College Prep 101,"August 27, 2023",11/08/2023,completed,Spring 2024,Pilsen
ENR8157,STU0109,After School Math,After School Math,08/21/2023,11/04/2023,Completed,Fall 2023,Englewood
ENR4807,STU0109,STEM Bootcamp,STEM Bootcamp,10-06-2023,05 Mar 2024,dropout,,West Loop
ENR5163,STU0110,After School Math,After School Math,09-28-2023,2024-03-26,,,South Side
ENR8587,STU0111,Literacy First,Literacy First,2023-09-02,01/24/2024,Active,,Englewood
ENR3750,STU0112,Summer Bridge,Summer Bridge,10-24-2023,12-24-2023,Dropped,Sp24,West Loop
ENR7045,STU0112,College Prep 101,College Prep 101,26 Oct 2023,03-23-2024,completed,Fall23,
ENR8975,STU0113,Literacy First,Literacy First,2023-10-18,"February 20, 2024",ACTIVE,,Hyde Park
ENR8080,STU0114,College Prep 101,College Prep 101,2023-10-14,2024-03-15,ACTIVE,Spring 2024,South Side
ENR6455,STU0115,STEM Bootcamp,STEM Bootcamp,"September 11, 2023","January 21, 2024",active,Spring 2024,Hyde Park
ENR4964,STU0116,Summer Bridge,Summer Bridge,08/11/2023,01-23-2024,active,,South Side
ENR2802,STU0116,Literacy First,Literacy First,2023-08-16,"December 01, 2023",Dropped,Sp24,Hyde Park
ENR3970,STU0117,After School Math,After School Math,16 Oct 2023,03/29/2024,active,Sp24,Hyde Park
ENR3996,STU0118,,Literacy First,09/16/2023,"March 14, 2024",Active,,Pilsen
ENR5825,STU0119,Literacy First,Literacy First,08-12-2023,11-18-2023,completed,,Pilsen
ENR6821,STU0120,After School Math,After School Math,2023-08-04,2024-01-22,Dropped,Sp24,Englewood
ENR8375,STU0121,Summer Bridge,Summer Bridge,17 Aug 2023,09 Jan 2024,dropout,,Englewood
ENR8079,STU0121,Literacy First,Literacy First,11 Sep 2023,02-12-2024,completed,Fall 2023,Pilsen
ENR9302,STU0122,Summer Bridge,Summer Bridge,"August 07, 2023",2023-12-18,Dropped,Sp24,South Side
ENR4129,STU0123,Literacy First,Literacy First,"August 08, 2023",2023-12-02,Dropped,,South Side
ENR7419,STU0123,,STEM Bootcamp,"August 14, 2023",22 Nov 2023,Active,,West Loop
ENR9121,STU0123,Summer Bridge,Summer Bridge,05 Aug 2023,,ACTIVE,Fall 2023,South Side
ENR3416,STU0124,College Prep 101,College Prep 101,2023-09-13,11/18/2023,Dropped,Sp24,Hyde Park
ENR6489,STU0125,STEM Bootcamp,STEM Bootcamp,2023-09-15,2024-01-14,active,Fall 2023,Hyde Park
ENR2966,STU0126,Summer Bridge,Summer Bridge,"October 26, 2023",,dropout,Fall23,West Loop
ENR9603,STU0127,,After School Math,15 Oct 2023,"March 29, 2024",,Sp24,Pilsen
ENR2150,STU0128,College Prep 101,College Prep 101,"October 07, 2023",2024-01-11,Dropped,,South Side
ENR3453,STU0129,College Prep 101,College Prep 101,08-20-2023,02-09-2024,completed,Spring 2024,Pilsen
ENR8087,STU0129,After School Math,After School Math,09/20/2023,2024-02-09,Active,Fall23,Englewood
ENR8767,STU0130,STEM Bootcamp,STEM Bootcamp,01 Oct 2023,2024-02-24,completed,,West Loop
ENR2226,STU0131,STEM Bootcamp,STEM Bootcamp,12 Sep 2023,11/12/2023,completed,Spring 2024,Hyde Park
ENR4733,STU0131,Summer Bridge,Summer Bridge,08 Oct 2023,2024-01-22,dropout,,
ENR8653,STU0132,Summer Bridge,Summer Bridge,"September 06, 2023","January 30, 2024",Active,Fall 2023,Hyde Park
ENR3611,STU0133,College Prep 101,College Prep 101,"October 01, 2023",02-16-2024,,Sp24,South Side
ENR1731,STU0133,Literacy First,Literacy First,14 Sep 2023,2023-12-18,Completed,,
ENR1427,STU0134,Summer Bridge,Summer Bridge,2023-08-13,"February 01, 2024",dropout,Sp24,West Loop
ENR4430,STU0134,After School Math,After School Math,2023-09-10,12 Nov 2023,Active,Spring 2024,
ENR1466,STU0134,Literacy First,Literacy First,08-11-2023,12/15/2023,completed,Sp24,Englewood
ENR3899,STU0135,STEM Bootcamp,STEM Bootcamp,2023-08-13,,completed,Spring 2024,
ENR2012,STU0136,Summer Bridge,Summer Bridge,2023-09-28,14 Feb 2024,Dropped,,Englewood
ENR7015,STU0136,STEM Bootcamp,STEM Bootcamp,09-20-2023,2024-02-10,ACTIVE,,Hyde Park
ENR6452,STU0137,Literacy First,Literacy First,10-05-2023,18 Jan 2024,Dropped,Fall23,
ENR4478,STU0138,After School Math,After School Math,10-21-2023,"March 03, 2024",active,,Pilsen
ENR2229,STU0139,Literacy First,Literacy First,"August 08, 2023",2024-01-24,active,Fall23,Pilsen
ENR7183,STU0140,After School Math,After School Math,"October 23, 2023",03-03-2024,Completed,Fall 2023,South Side
ENR7043,STU0141,Literacy First,Literacy First,10-07-2023,18 Mar 2024,active,Fall 2023,South Side
ENR3278,STU0141,Summer Bridge,Summer Bridge,04 Oct 2023,"December 27, 2023",,Fall 2023,Pilsen
ENR3512,STU0141,After School Math,After School Math,"September 24, 2023",12/24/2023,active,,West Loop
ENR8515,STU0142,STEM Bootcamp,STEM Bootcamp,08-10-2023,01-20-2024,Dropped,,
ENR6340,STU0142,College Prep 101,College Prep 101,"August 26, 2023",12-12-2023,Completed,Fall23,Hyde Park
ENR1838,STU0143,College Prep 101,College Prep 101,09-08-2023,02/26/2024,Dropped,Fall23,Englewood
ENR7769,STU0143,Literacy First,Literacy First,03 Oct 2023,"March 07, 2024",Dropped,Spring 2024,Hyde Park
ENR4186,STU0144,After School Math,After School Math,"September 19, 2023",2024-02-09,active,Fall23,Pilsen
ENR2461,STU0144,Summer Bridge,Summer Bridge,09-19-2023,,,Sp24,West Loop
ENR1655,STU0145,Summer Bridge,Summer Bridge,14 Sep 2023,01-04-2024,ACTIVE,Fall 2023,West Loop
ENR3666,STU0146,STEM Bootcamp,STEM Bootcamp,"September 27, 2023",2024-02-16,,Fall 2023,Hyde Park
ENR6480,STU0147,College Prep 101,College Prep 101,09-10-2023,"December 03, 2023",completed,,South Side
ENR3292,STU0148,College Prep 101,College Prep 101,2023-09-13,"January 11, 2024",active,Fall23,West Loop
ENR6628,STU0149,Summer Bridge,Summer Bridge,09-24-2023,2024-03-03,active,Sp24,Englewood
ENR7561,STU0150,Literacy First,Literacy First,2023-10-28,02-28-2024,Completed,Sp24,Hyde Park
ENR3881,STU0151,Summer Bridge,Summer Bridge,08-05-2023,"December 15, 2023",Dropped,Sp24,
ENR9799,STU0152,After School Math,After School Math,11 Aug 2023,,Active,,Hyde Park
ENR8926,STU0153,STEM Bootcamp,STEM Bootcamp,09-10-2023,,Active,Fall 2023,Englewood
ENR1519,STU0154,Literacy First,Literacy First,10/03/2023,12/18/2023,completed,Sp24,Hyde Park
ENR4067,STU0154,After School Math,After School Math,07 Oct 2023,,active,Sp24,West Loop
ENR5183,STU0154,Summer Bridge,Summer Bridge,"October 16, 2023",2023-12-20,Completed,Spring 2024,West Loop
ENR5401,STU0155,Summer Bridge,Summer Bridge,10/14/2023,,dropout,Fall23,West Loop
ENR7757,STU0156,College Prep 101,College Prep 101,10/24/2023,17 Apr 2024,completed,,South Side
ENR7674,STU0156,STEM Bootcamp,STEM Bootcamp,09-14-2023,,,Sp24,Englewood
ENR7798,STU0157,STEM Bootcamp,STEM Bootcamp,09/04/2023,14 Dec 2023,,Fall23,Englewood
ENR3701,STU0158,Literacy First,Literacy First,08-20-2023,"November 03, 2023",,Fall 2023,West Loop
ENR6859,STU0158,Summer Bridge,Summer Bridge,"August 07, 2023",02 Nov 2023,completed,,South Side
ENR3222,STU0159,,STEM Bootcamp,01 Oct 2023,03/07/2024,ACTIVE,,
ENR4274,STU0160,Literacy First,Literacy First,2023-10-22,04/01/2024,Active,Fall 2023,Pilsen
ENR3714,STU0161,Literacy First,Literacy First,2023-10-13,,ACTIVE,Sp24,South Side
ENR5239,STU0162,STEM Bootcamp,STEM Bootcamp,"October 27, 2023",,active,,South Side
ENR6612,STU0163,Summer Bridge,Summer Bridge,04 Sep 2023,01/28/2024,dropout,Spring 2024,
ENR5517,STU0163,Literacy First,Literacy First,20 Aug 2023,"December 06, 2023",active,Fall 2023,Hyde Park
ENR6550,STU0164,Literacy First,Literacy First,"October 14, 2023",2023-12-23,Completed,Fall23,South Side
ENR6322,STU0165,After School Math,After School Math,2023-08-09,13 Dec 2023,ACTIVE,Fall23,Pilsen
ENR4530,STU0165,College Prep 101,College Prep 101,08/18/2023,01/27/2024,Completed,Fall23,
ENR9351,STU0166,Literacy First,Literacy First,08/21/2023,2023-11-05,Dropped,Fall23,South Side
ENR6163,STU0167,Literacy First,Literacy First,10/07/2023,02/21/2024,Dropped,Fall23,
ENR3370,STU0168,After School Math,After School Math,"September 15, 2023",16 Feb 2024,completed,,Englewood
ENR7565,STU0168,Summer Bridge,Summer Bridge,08-25-2023,"January 08, 2024",dropout,Sp24,Englewood
ENR2935,STU0168,STEM Bootcamp,STEM Bootcamp,10-20-2023,05 Jan 2024,,,Pilsen
ENR3553,STU0169,After School Math,After School Math,"September 10, 2023",18 Nov 2023,Active,,Englewood
ENR1697,STU0169,College Prep 101,College Prep 101,12 Oct 2023,03-01-2024,dropout,Sp24,West Loop
ENR4673,STU0169,Literacy First,Literacy First,2023-09-21,02/17/2024,Completed,Fall23,Hyde Park
ENR8166,STU0170,Literacy First,Literacy First,25 Aug 2023,"December 13, 2023",Active,Fall23,West Loop
ENR3457,STU0170,STEM Bootcamp,STEM Bootcamp,"September 23, 2023",14 Feb 2024,dropout,,Hyde Park
ENR5916,STU0171,Literacy First,Literacy First,24 Sep 2023,,active,,Englewood
ENR2266,STU0172,After School Math,After School Math,08/12/2023,05 Nov 2023,Active,Fall23,South Side
ENR3068,STU0172,Literacy First,Literacy First,09 Aug 2023,,dropout,,South Side
ENR6993,STU0173,Summer Bridge,Summer Bridge,2023-08-16,2023-10-16,Active,,Hyde Park
ENR8264,STU0174,Summer Bridge,Summer Bridge,09-16-2023,31 Jan 2024,dropout,Spring 2024,Pilsen
ENR4262,STU0175,STEM Bootcamp,STEM Bootcamp,2023-09-28,27 Nov 2023,Completed,,South Side
ENR9238,STU0176,Literacy First,Literacy First,15 Sep 2023,18 Jan 2024,Active,,Pilsen
ENR5877,STU0177,College Prep 101,College Prep 101,"October 16, 2023",2024-03-25,Completed,Fall 2023,Pilsen
ENR2155,STU0177,After School Math,After School Math,"October 05, 2023",,Completed,Spring 2024,Hyde Park
ENR4577,STU0177,STEM Bootcamp,STEM Bootcamp,2023-09-06,"January 05, 2024",active,,South Side
ENR5681,STU0178,After School Math,After School Math,2023-10-09,03/02/2024,dropout,Fall 2023,Pilsen
ENR7838,STU0178,College Prep 101,College Prep 101,2023-10-25,03-15-2024,dropout,Sp24,Hyde Park
ENR8342,STU0178,STEM Bootcamp,STEM Bootcamp,09-26-2023,,Active,,South Side
ENR8150,STU0179,College Prep 101,College Prep 101,09-19-2023,"November 25, 2023",completed,Sp24,Pilsen
