student_id,subject,assessment_period,month,score,score_out_of,percentile,grade_equivalent,assessor
STU0013,Math,Post,Jan 2024,77.0,100.0,28.8,,
STU0013,Reading,Pre,Sep 2023,45.0,100.0,55.0,7.3,
STU0013,Reading,Post,Jan 2024,97.0,100.0,10.2,,Erik Wright
STU0013,SEL,Mid,Nov 2023,53.0,100.0,61.1,8.0,Jose Ponce
STU0014,Math,Pre,Sep 2023,72.0,100.0,88.7,6.1,Ashley Little
STU0014,Math,Post,Jan 2024,78.0,,,,David Wallace
STU0014,Reading,Pre,Sep 2023,44.0,100.0,25.1,,
STU0014,Reading,Post,Jan 2024,,,,N/A,
STU0014,SEL,Mid,Nov 2023,71.0,,22.7,,Sarah Allison
STU0015,Math,Pre,Sep 2023,52.0,100.0,30.0,6.1,Ronald Tyler
STU0015,Math,Post,Jan 2024,69.0,,,,Elizabeth Williams
STU0015,Reading,Pre,Sep 2023,65.0,,,,
STU0015,Reading,Post,Jan 2024,78.0,100.0,13.6,N/A,William Rosario
STU0015,SEL,Mid,Nov 2023,41.0,100.0,89.4,,
STU0016,Math,Pre,Sep 2023,,100.0,33.6,8.0,
STU0016,Reading,Pre,Sep 2023,62.0,,88.9,6.1,
STU0016,Reading,Post,Jan 2024,86.0,100.0,17.0,,Tracy Gregory
STU0016,SEL,Mid,Nov 2023,54.0,100.0,,,
STU0017,Math,Pre,Sep 2023,60.0,,55.3,,
STU0017,Math,Post,Jan 2024,81.0,,60.0,,
STU0017,Reading,Pre,Sep 2023,57.0,100.0,44.7,5.2,
STU0017,Reading,Post,Jan 2024,,100.0,38.1,,Sandra Young
STU0017,SEL,Mid,Nov 2023,53.0,100.0,,,
STU0018,Math,Post,Jan 2024,68.0,100.0,28.8,8.0,Douglas Turner
STU0018,Reading,Pre,Sep 2023,50.0,,58.5,,Tracy Wade
STU0018,Reading,Post,Jan 2024,76.0,,,N/A,
STU0018,SEL,Mid,Nov 2023,47.0,100.0,88.3,6.1,Omar Andrews
STU0019,Math,Pre,Sep 2023,40.0,,29.1,,Bryce Monroe
STU0019,Math,Post,Jan 2024,53.0,,17.1,5.2,Eugene Parks
STU0019,Reading,Post,Jan 2024,43.0,100.0,85.7,,Kimberly Harrington
STU0019,SEL,Mid,Nov 2023,45.0,100.0,23.4,8.0,Timothy Hubbard
STU0020,Math,Pre,Sep 2023,41.0,100.0,18.3,,Karen Williams
STU0020,Math,Post,Jan 2024,62.0,,,8.0,Jacob Miller
STU0020,Reading,Post,Jan 2024,62.0,100.0,,,Kelly White
STU0020,SEL,Mid,Nov 2023,68.0,100.0,23.0,,Christopher Cruz
STU0021,Math,Pre,Sep 2023,75.0,,16.3,,Jennifer Walker PhD
STU0021,Math,Post,Jan 2024,96.0,100.0,,,
STU0021,Reading,Pre,Sep 2023,53.0,,,,Duane Shaw
STU0021,Reading,Post,Jan 2024,63.0,100.0,31.4,,
STU0021,SEL,Mid,Nov 2023,47.0,100.0,10.4,,
STU0022,Math,Pre,Sep 2023,56.0,100.0,,8.0,
STU0022,Math,Post,Jan 2024,63.0,100.0,34.1,8.0,
STU0022,Reading,Pre,Sep 2023,58.0,,51.4,6.1,
STU0022,Reading,Post,Jan 2024,50.0,,68.3,N/A,Gloria Lucero
STU0023,Math,Pre,Sep 2023,72.0,100.0,12.9,,
STU0023,Math,Post,Jan 2024,76.0,100.0,,5.2,
STU0023,Reading,Pre,Sep 2023,48.0,100.0,,,
STU0023,Reading,Post,Jan 2024,70.0,,73.2,,Kayla White
STU0023,SEL,Mid,Nov 2023,56.0,100.0,,,Thomas Bartlett
STU0024,Math,Pre,Sep 2023,69.0,,48.5,,
STU0024,Math,Post,Jan 2024,79.0,,50.8,,Kevin Benson
STU0024,Reading,Pre,Sep 2023,43.0,100.0,,,
STU0024,Reading,Post,Jan 2024,37.0,,,,
STU0024,SEL,Mid,Nov 2023,43.0,100.0,50.1,,
STU0025,Math,Pre,Sep 2023,41.0,100.0,56.1,N/A,
STU0025,Math,Post,Jan 2024,61.0,,62.8,,Craig Washington
STU0025,Reading,Pre,Sep 2023,51.0,100.0,83.8,7.3,
STU0025,Reading,Post,Jan 2024,84.0,,,5.2,Jeffrey Miller
STU0025,SEL,Mid,Nov 2023,54.0,100.0,27.8,,Darius Garcia
STU0026,Math,Post,Jan 2024,80.0,100.0,87.0,,
STU0026,Reading,Pre,Sep 2023,47.0,100.0,,,
STU0026,Reading,Post,Jan 2024,45.0,100.0,57.8,,Peter Smith
STU0026,SEL,Mid,Nov 2023,,100.0,62.3,,
STU0027,Math,Pre,Sep 2023,68.0,100.0,69.6,N/A,Jessica Foster
STU0027,Math,Post,Jan 2024,63.0,100.0,,,
STU0027,Reading,Pre,Sep 2023,,100.0,49.0,7.3,
STU0027,Reading,Post,Jan 2024,53.0,100.0,54.6,,
STU0027,SEL,Mid,Nov 2023,56.0,,89.6,5.2,Paula Smith
STU0028,Math,Post,Jan 2024,79.0,100.0,,,
STU0028,Reading,Pre,Sep 2023,50.0,,71.0,6.1,
STU0028,SEL,Mid,Nov 2023,41.0,,,,Jesse Butler
STU0029,Math,Pre,Sep 2023,64.0,100.0,89.4,5.2,
STU0029,Math,Post,Jan 2024,71.0,100.0,,,Amanda Flores
STU0029,Reading,Pre,Sep 2023,61.0,100.0,47.0,6.1,
STU0029,Reading,Post,Jan 2024,42.0,,66.4,,Nathaniel Hopkins
STU0030,Math,Pre,Sep 2023,41.0,100.0,,,
STU0030,Math,Post,Jan 2024,44.0,100.0,45.2,7.3,Julie Dickson
STU0030,Reading,Pre,Sep 2023,72.0,100.0,41.1,,
STU0030,Reading,Post,Jan 2024,68.0,,,,Katherine Hernandez
STU0030,SEL,Mid,Nov 2023,68.0,,,,Adrian Brock
STU0031,Math,Pre,Sep 2023,,100.0,84.5,N/A,Robert Ryan
STU0031,Math,Post,Jan 2024,,100.0,82.3,,Lisa Robinson
STU0031,Reading,Pre,Sep 2023,43.0,,42.2,6.1,Jessica Andrews
STU0031,Reading,Post,Jan 2024,53.0,100.0,,7.3,
STU0031,SEL,Mid,Nov 2023,57.0,100.0,,,Mary Crosby DDS
STU0032,Math,Pre,Sep 2023,,100.0,89.3,8.0,
STU0032,Math,Post,Jan 2024,60.0,,46.9,,
STU0032,Reading,Pre,Sep 2023,44.0,100.0,,7.3,
STU0032,SEL,Mid,Nov 2023,,100.0,61.7,,
STU0033,Math,Post,Jan 2024,50.0,,34.7,5.2,Michael Soto
STU0033,Reading,Pre,Sep 2023,63.0,100.0,,,Michelle Guzman
STU0033,SEL,Mid,Nov 2023,75.0,100.0,18.5,N/A,Steven Wagner
STU0034,Math,Pre,Sep 2023,58.0,100.0,75.6,N/A,
STU0034,Math,Post,Jan 2024,51.0,100.0,,5.2,Richard Wright
STU0034,Reading,Pre,Sep 2023,,,22.5,,Paul Clements
STU0034,Reading,Post,Jan 2024,74.0,100.0,85.8,,Daniel Myers
STU0034,SEL,Mid,Nov 2023,52.0,100.0,67.1,,Christopher Wise
STU0035,Math,Pre,Sep 2023,63.0,,84.2,,
STU0035,Math,Post,Jan 2024,44.0,,34.4,8.0,
STU0035,Reading,Pre,Sep 2023,68.0,100.0,74.8,,
STU0035,Reading,Post,Jan 2024,55.0,100.0,,,Daniel Michael
STU0035,SEL,Mid,Nov 2023,52.0,100.0,74.9,8.0,
STU0036,Reading,Post,Jan 2024,59.0,100.0,87.9,,
STU0036,SEL,Mid,Nov 2023,67.0,,86.1,5.2,
STU0037,Math,Pre,Sep 2023,,,,,
STU0037,Reading,Pre,Sep 2023,42.0,100.0,81.9,8.0,
STU0037,Reading,Post,Jan 2024,63.0,100.0,71.8,6.1,Brenda Parker
STU0037,SEL,Mid,Nov 2023,40.0,100.0,31.4,5.2,Howard Herrera
STU0038,Math,Pre,Sep 2023,67.0,,,7.3,Kayla Evans
STU0038,Math,Post,Jan 2024,49.0,100.0,,,
STU0038,Reading,Pre,Sep 2023,44.0,,50.7,8.0,Jennifer Valenzuela
STU0038,Reading,Post,Jan 2024,49.0,100.0,60.7,7.3,Alexis King
STU0038,SEL,Mid,Nov 2023,74.0,100.0,41.6,,James Bradley
STU0039,Math,Post,Jan 2024,62.0,100.0,,8.0,
STU0039,Reading,Pre,Sep 2023,45.0,100.0,72.9,5.2,
STU0039,Reading,Post,Jan 2024,67.0,100.0,68.0,6.1,Shaun Sandoval
STU0040,Math,Pre,Sep 2023,69.0,,59.6,,Luis Miller
STU0040,Math,Post,Jan 2024,56.0,,67.2,6.1,Charles Caldwell
STU0040,Reading,Post,Jan 2024,64.0,100.0,67.7,,
STU0040,SEL,Mid,Nov 2023,59.0,100.0,39.1,,Travis Berger
STU0041,Math,Pre,Sep 2023,48.0,100.0,88.4,5.2,John Wu
STU0041,Math,Post,Jan 2024,66.0,100.0,75.4,,
STU0041,Reading,Pre,Sep 2023,,100.0,,,
STU0041,Reading,Post,Jan 2024,67.0,100.0,,,
STU0041,SEL,Mid,Nov 2023,73.0,100.0,,5.2,Catherine Young
STU0042,Math,Pre,Sep 2023,75.0,,,,
STU0042,Math,Post,Jan 2024,,,83.2,5.2,Logan Campbell
STU0042,Reading,Pre,Sep 2023,73.0,100.0,40.3,,Mark Hale
STU0042,Reading,Post,Jan 2024,80.0,100.0,42.8,,
STU0043,Math,Post,Jan 2024,,100.0,,,
STU0043,Reading,Pre,Sep 2023,43.0,100.0,,,Cory Vaughan
STU0043,Reading,Post,Jan 2024,58.0,100.0,70.4,5.2,
STU0043,SEL,Mid,Nov 2023,54.0,,85.0,N/A,Alyssa Kaiser
STU0044,Math,Pre,Sep 2023,40.0,100.0,11.1,6.1,
STU0044,Reading,Pre,Sep 2023,72.0,100.0,56.4,N/A,Brian Bryant
STU0044,Reading,Post,Jan 2024,89.0,,42.0,,
STU0044,SEL,Mid,Nov 2023,,100.0,69.7,7.3,April Wolfe
STU0045,Math,Pre,Sep 2023,54.0,100.0,22.9,,
STU0045,Math,Post,Jan 2024,58.0,100.0,10.4,N/A,
STU0045,Reading,Pre,Sep 2023,70.0,,31.0,5.2,Allen Faulkner
STU0045,SEL,Mid,Nov 2023,56.0,100.0,,,Nicholas Chapman
STU0046,Math,Pre,Sep 2023,46.0,,56.1,,Steven Mata
STU0046,Math,Post,Jan 2024,49.0,100.0,,,Mrs. Jillian Orr DDS
STU0046,Reading,Pre,Sep 2023,59.0,,28.4,,Tracey Woods
STU0046,Reading,Post,Jan 2024,,100.0,,,
STU0046,SEL,Mid,Nov 2023,64.0,,,,
STU0047,Math,Pre,Sep 2023,68.0,,45.5,,Joseph Hall
STU0047,Math,Post,Jan 2024,71.0,100.0,39.7,,
STU0047,Reading,Pre,Sep 2023,71.0,100.0,,,
STU0047,SEL,Mid,Nov 2023,41.0,100.0,72.8,,
STU0048,Reading,Pre,Sep 2023,69.0,,54.8,,
STU0048,Reading,Post,Jan 2024,80.0,100.0,,,
STU0048,SEL,Mid,Nov 2023,40.0,100.0,,N/A,
STU0049,Math,Pre,Sep 2023,52.0,100.0,32.0,,Mr. Scott Norman
STU0049,Math,Post,Jan 2024,61.0,100.0,44.9,5.2,Jonathan Reese
STU0049,Reading,Pre,Sep 2023,49.0,100.0,67.6,8.0,Katherine Johnson
STU0049,Reading,Post,Jan 2024,56.0,100.0,,8.0,Michael Pierce
STU0050,Math,Post,Jan 2024,58.0,100.0,78.6,6.1,
STU0050,Reading,Pre,Sep 2023,49.0,100.0,20.6,,Alan Thompson
STU0050,Reading,Post,Jan 2024,78.0,100.0,,6.1,Bianca Parsons
STU0051,Math,Pre,Sep 2023,41.0,,53.2,,Sean Riley
STU0051,Reading,Pre,Sep 2023,40.0,100.0,52.9,8.0,Gregory Phillips
STU0051,Reading,Post,Jan 2024,72.0,,,,Rebecca Smith
STU0052,Math,Pre,Sep 2023,53.0,100.0,75.5,6.1,
STU0052,Reading,Post,Jan 2024,,,51.3,,
STU0052,SEL,Mid,Nov 2023,57.0,100.0,23.1,,Andrew Torres PhD
STU0053,Math,Pre,Sep 2023,67.0,,56.7,5.2,
STU0053,Math,Post,Jan 2024,51.0,100.0,28.1,,Marissa Jackson MD
STU0053,Reading,Pre,Sep 2023,45.0,100.0,,,
STU0053,SEL,Mid,Nov 2023,73.0,,,6.1,Margaret Velasquez
STU0054,Math,Pre,Sep 2023,,,78.8,5.2,Heidi Wright
STU0054,Math,Post,Jan 2024,79.0,100.0,81.1,8.0,Jessica Burns
STU0054,Reading,Pre,Sep 2023,,,86.4,8.0,
STU0054,Reading,Post,Jan 2024,82.0,100.0,82.9,,
STU0054,SEL,Mid,Nov 2023,53.0,100.0,52.7,,Andrew Olson
STU0055,Math,Pre,Sep 2023,43.0,100.0,46.7,,David Wagner
STU0055,Math,Post,Jan 2024,46.0,100.0,,,Anne Coffey
STU0055,Reading,Pre,Sep 2023,50.0,100.0,,8.0,David Taylor
STU0055,Reading,Post,Jan 2024,40.0,,45.7,7.3,
STU0055,SEL,Mid,Nov 2023,70.0,,43.5,,Jill Grant
STU0056,Math,Pre,Sep 2023,72.0,100.0,,8.0,
STU0056,Math,Post,Jan 2024,68.0,100.0,88.7,,Cassandra Gibbs
STU0056,Reading,Post,Jan 2024,76.0,100.0,48.4,7.3,Andrea Esparza
STU0057,Math,Pre,Sep 2023,,100.0,,,
STU0057,Math,Post,Jan 2024,86.0,100.0,55.7,5.2,
STU0057,Reading,Pre,Sep 2023,,,55.2,,Tammy Evans
STU0057,Reading,Post,Jan 2024,70.0,100.0,21.5,,Alexander Owen
STU0057,SEL,Mid,Nov 2023,46.0,,32.1,8.0,Jeffrey Lewis
STU0058,Math,Pre,Sep 2023,54.0,,83.1,,
STU0058,Math,Post,Jan 2024,92.0,100.0,,,
STU0058,Reading,Pre,Sep 2023,50.0,100.0,,,Michael Kane MD
STU0058,SEL,Mid,Nov 2023,61.0,100.0,,,Michelle Shelton
STU0059,Math,Pre,Sep 2023,71.0,100.0,65.0,6.1,Anthony Harrison
STU0059,Math,Post,Jan 2024,,100.0,,,Jane Hodges
STU0059,Reading,Pre,Sep 2023,66.0,100.0,45.1,,Bryan Long
STU0059,Reading,Post,Jan 2024,61.0,100.0,83.5,,Carrie Haney
STU0060,Math,Pre,Sep 2023,74.0,,57.6,8.0,Danielle Davis
STU0060,Math,Post,Jan 2024,64.0,100.0,,,Russell King
STU0060,Reading,Pre,Sep 2023,74.0,100.0,11.9,,
STU0060,Reading,Post,Jan 2024,94.0,,,N/A,Justin Avery
STU0060,SEL,Mid,Nov 2023,51.0,100.0,,N/A,
STU0061,Math,Pre,Sep 2023,56.0,100.0,65.5,7.3,George Franklin
STU0061,Math,Post,Jan 2024,79.0,100.0,73.8,,Maxwell Ewing
STU0061,Reading,Post,Jan 2024,90.0,,71.7,6.1,Travis Perez
STU0061,SEL,Mid,Nov 2023,53.0,100.0,40.1,,Susan Barker
STU0062,Math,Pre,Sep 2023,53.0,,71.7,,Shannon Farmer
STU0062,Reading,Pre,Sep 2023,50.0,100.0,83.2,,
STU0063,Math,Pre,Sep 2023,50.0,100.0,68.9,,
STU0063,Math,Post,Jan 2024,94.0,100.0,24.7,,Wayne Robinson
STU0063,SEL,Mid,Nov 2023,,100.0,13.7,,Amber Glenn
STU0064,Math,Post,Jan 2024,81.0,,12.1,,John Thomas
STU0064,Reading,Post,Jan 2024,,,81.2,7.3,
STU0064,SEL,Mid,Nov 2023,64.0,100.0,,,Cheryl Lambert
STU0065,Math,Pre,Sep 2023,67.0,,,8.0,Lisa Hill
STU0065,Math,Post,Jan 2024,70.0,,46.9,N/A,Anthony Ford
STU0065,Reading,Pre,Sep 2023,70.0,100.0,68.3,,
STU0065,Reading,Post,Jan 2024,63.0,100.0,,7.3,Rebecca Nguyen
STU0065,SEL,Mid,Nov 2023,60.0,100.0,46.2,,Nichole Thomas
STU0066,Math,Pre,Sep 2023,68.0,,,5.2,
STU0066,Reading,Pre,Sep 2023,40.0,100.0,48.6,5.2,Vincent Hogan
STU0066,Reading,Post,Jan 2024,51.0,100.0,,,
STU0066,SEL,Mid,Nov 2023,58.0,100.0,12.0,,Tyler Jones
STU0067,Math,Pre,Sep 2023,,100.0,32.5,,
STU0067,Reading,Pre,Sep 2023,60.0,100.0,20.8,7.3,
STU0067,Reading,Post,Jan 2024,82.0,,59.7,,Nicholas Shaffer
STU0067,SEL,Mid,Nov 2023,42.0,100.0,,7.3,
STU0068,Math,Post,Jan 2024,67.0,100.0,26.1,7.3,Julian Cervantes
STU0068,Reading,Pre,Sep 2023,51.0,100.0,66.9,7.3,Savannah Green
STU0068,Reading,Post,Jan 2024,83.0,,84.7,8.0,James Frazier
STU0069,Math,Pre,Sep 2023,,,34.2,,Sandra Gonzalez
STU0069,Math,Post,Jan 2024,64.0,100.0,83.9,,Adrian Johnson
STU0069,Reading,Pre,Sep 2023,61.0,100.0,73.3,7.3,Daniel Nguyen
STU0069,Reading,Post,Jan 2024,86.0,100.0,15.7,,
STU0070,Math,Post,Jan 2024,64.0,100.0,,,
STU0070,Reading,Pre,Sep 2023,65.0,100.0,,,
STU0070,Reading,Post,Jan 2024,80.0,100.0,29.1,,
STU0070,SEL,Mid,Nov 2023,54.0,100.0,,7.3,Amanda Herrera
STU0071,Math,Pre,Sep 2023,72.0,100.0,85.3,8.0,
STU0071,Math,Post,Jan 2024,92.0,,,N/A,
STU0071,Reading,Post,Jan 2024,73.0,100.0,11.0,8.0,
STU0071,SEL,Mid,Nov 2023,44.0,100.0,65.6,,Veronica Fernandez
STU0072,Math,Pre,Sep 2023,58.0,100.0,,,Sabrina Roach
STU0072,Math,Post,Jan 2024,74.0,100.0,15.8,8.0,Gary Stevenson
STU0072,Reading,Pre,Sep 2023,58.0,100.0,12.0,5.2,
STU0072,Reading,Post,Jan 2024,56.0,100.0,,N/A,
STU0073,Math,Pre,Sep 2023,40.0,,,5.2,Joann Richards
STU0073,Math,Post,Jan 2024,78.0,,61.1,,
STU0073,Reading,Pre,Sep 2023,64.0,,52.3,6.1,
STU0073,Reading,Post,Jan 2024,77.0,,12.6,7.3,Laurie Hall
STU0073,SEL,Mid,Nov 2023,66.0,100.0,38.5,,
STU0074,Math,Pre,Sep 2023,45.0,100.0,25.3,,Angela Hall
STU0074,Reading,Pre,Sep 2023,63.0,,73.3,7.3,
STU0074,Reading,Post,Jan 2024,49.0,,13.0,N/A,
STU0074,SEL,Mid,Nov 2023,44.0,,,6.1,
STU0075,Math,Pre,Sep 2023,42.0,,,5.2,Kelly Greene
STU0075,Math,Post,Jan 2024,57.0,100.0,85.3,,Sarah Beard
STU0075,Reading,Pre,Sep 2023,60.0,100.0,,8.0,Aaron Turner
STU0075,SEL,Mid,Nov 2023,66.0,100.0,10.7,,
STU0076,Math,Pre,Sep 2023,61.0,100.0,60.6,,
STU0076,Math,Post,Jan 2024,44.0,,,5.2,
STU0076,Reading,Post,Jan 2024,56.0,100.0,,,Garrett Perez
STU0076,SEL,Mid,Nov 2023,50.0,,,,
STU0077,Math,Pre,Sep 2023,48.0,100.0,15.7,,
STU0077,Math,Post,Jan 2024,43.0,100.0,,7.3,
STU0077,Reading,Pre,Sep 2023,46.0,100.0,11.6,,
STU0077,SEL,Mid,Nov 2023,55.0,100.0,77.1,5.2,Tiffany Simmons
STU0078,Math,Pre,Sep 2023,65.0,,51.7,,Jorge Anderson
STU0078,Math,Post,Jan 2024,79.0,100.0,77.3,7.3,Kevin Ward
STU0078,Reading,Pre,Sep 2023,,100.0,38.8,,
STU0078,Reading,Post,Jan 2024,48.0,100.0,,N/A,Allen Henry
STU0078,SEL,Mid,Nov 2023,,100.0,11.7,6.1,
STU0079,Math,Pre,Sep 2023,54.0,,57.2,,
STU0079,Math,Post,Jan 2024,68.0,100.0,,7.3,Claudia Allen
STU0079,Reading,Pre,Sep 2023,,,52.9,8.0,
STU0079,Reading,Post,Jan 2024,86.0,100.0,60.9,,
STU0079,SEL,Mid,Nov 2023,71.0,100.0,84.5,,Nicholas Carroll
STU0080,Math,Pre,Sep 2023,48.0,100.0,,5.2,
STU0080,Math,Post,Jan 2024,70.0,100.0,17.8,7.3,Antonio Hall
STU0080,Reading,Post,Jan 2024,,100.0,,5.2,
STU0081,Math,Pre,Sep 2023,40.0,100.0,50.6,7.3,
STU0081,Math,Post,Jan 2024,47.0,100.0,88.2,8.0,Martin Keith
STU0081,Reading,Pre,Sep 2023,40.0,100.0,22.2,N/A,Morgan Brooks
STU0081,Reading,Post,Jan 2024,76.0,100.0,,,Craig Patterson
STU0081,SEL,Mid,Nov 2023,55.0,,,,
STU0082,Math,Pre,Sep 2023,59.0,100.0,67.0,6.1,Jessica Little
STU0082,Math,Post,Jan 2024,,100.0,41.6,5.2,Christopher Sanchez
STU0082,Reading,Pre,Sep 2023,69.0,100.0,49.6,,Peter Carlson
STU0082,Reading,Post,Jan 2024,64.0,100.0,,,
STU0082,SEL,Mid,Nov 2023,71.0,100.0,62.1,,
STU0083,Math,Pre,Sep 2023,66.0,,54.5,,Bruce Smith
STU0083,Math,Post,Jan 2024,,100.0,36.6,6.1,
STU0083,Reading,Pre,Sep 2023,69.0,100.0,45.3,7.3,
STU0083,Reading,Post,Jan 2024,62.0,100.0,22.9,8.0,
STU0083,SEL,Mid,Nov 2023,43.0,,,,Amber Morgan
STU0084,Math,Pre,Sep 2023,56.0,100.0,19.8,5.2,
STU0084,Math,Post,Jan 2024,62.0,,,6.1,
STU0084,Reading,Post,Jan 2024,56.0,100.0,,,Jason Walker
STU0084,SEL,Mid,Nov 2023,69.0,100.0,43.6,N/A,Renee Hoffman
STU0085,Math,Pre,Sep 2023,52.0,100.0,,,Charles Chung
STU0085,Math,Post,Jan 2024,71.0,100.0,51.4,,
STU0085,Reading,Post,Jan 2024,94.0,,,5.2,Charles Luna
STU0085,SEL,Mid,Nov 2023,,,22.0,,Frank Fisher
STU0086,Math,Post,Jan 2024,84.0,100.0,,5.2,
STU0086,Reading,Pre,Sep 2023,66.0,100.0,,6.1,
STU0086,Reading,Post,Jan 2024,,,80.0,5.2,John Andrews
STU0086,SEL,Mid,Nov 2023,58.0,100.0,22.9,,Angela Horton
STU0087,Math,Pre,Sep 2023,49.0,100.0,53.5,,
STU0087,Math,Post,Jan 2024,59.0,100.0,,,
STU0087,Reading,Pre,Sep 2023,69.0,100.0,30.7,5.2,Kathleen Spence
STU0087,Reading,Post,Jan 2024,67.0,100.0,89.0,5.2,Joshua Lewis
STU0087,SEL,Mid,Nov 2023,57.0,100.0,74.3,6.1,
STU0088,Math,Pre,Sep 2023,50.0,100.0,63.3,,Stacy Galloway
STU0088,Reading,Pre,Sep 2023,53.0,100.0,12.9,8.0,Ashley Sexton
STU0088,Reading,Post,Jan 2024,64.0,100.0,,,Bonnie Lopez
STU0088,SEL,Mid,Nov 2023,53.0,100.0,23.2,7.3,
STU0089,Math,Pre,Sep 2023,53.0,100.0,,,
STU0089,Math,Post,Jan 2024,75.0,100.0,45.8,N/A,
STU0090,Math,Post,Jan 2024,,100.0,58.2,,Henry Martin
STU0090,Reading,Pre,Sep 2023,43.0,100.0,55.7,7.3,
STU0090,Reading,Post,Jan 2024,,100.0,65.9,7.3,
STU0091,Math,Pre,Sep 2023,50.0,100.0,81.5,,Molly Harris
STU0091,Math,Post,Jan 2024,89.0,100.0,,,
STU0091,Reading,Pre,Sep 2023,45.0,,34.9,,
STU0091,Reading,Post,Jan 2024,61.0,100.0,55.6,,
STU0091,SEL,Mid,Nov 2023,,,15.7,8.0,
STU0092,Math,Pre,Sep 2023,48.0,100.0,,,Joshua Berry
STU0092,Math,Post,Jan 2024,67.0,100.0,38.8,7.3,Angela Jacobson
STU0092,Reading,Pre,Sep 2023,45.0,,71.2,,
STU0092,SEL,Mid,Nov 2023,,100.0,13.4,,
STU0093,Math,Pre,Sep 2023,53.0,100.0,86.3,N/A,Alejandro Castillo
STU0093,Math,Post,Jan 2024,67.0,100.0,39.9,8.0,Melissa Davies
STU0093,Reading,Post,Jan 2024,64.0,100.0,88.7,,Steven White
STU0094,Math,Pre,Sep 2023,72.0,,72.8,,
STU0094,Math,Post,Jan 2024,81.0,,61.3,N/A,
