student_id,week_of,sessions_attended,sessions_scheduled,attendance_rate,note
STU0203,28 Nov 2023,2.0,3.0,,
STU0203,2023-12-05,0.0,,,sick
STU0203,"December 12, 2023",2.0,2.0,0.98,
STU0203,19 Dec 2023,1.0,3.0,,
STU0203,12-26-2023,3.0,3.0,0.64,
STU0203,02 Jan 2024,1.0,2.0,74%,unexcused
STU0203,01-09-2024,1.0,2.0,,excused
STU0203,2024-01-16,2.0,2.0,50%,unexcused
STU0118,09-05-2023,0.0,3.0,41%,
STU0118,09/19/2023,1.0,,,
STU0118,26 Sep 2023,2.0,3.0,,
STU0118,2023-10-03,0.0,3.0,62%,
STU0118,10-10-2023,1.0,2.0,,sick
STU0118,2023-10-17,1.0,2.0,0.48,
STU0118,10-24-2023,2.0,2.0,0.5,
STU0118,2023-10-31,,2.0,98%,excused
STU0118,07 Nov 2023,0.0,2.0,,
STU0118,2023-11-21,3.0,2.0,,
STU0118,12-05-2023,1.0,3.0,46%,
STU0118,12/12/2023,1.0,2.0,,
STU0118,12-19-2023,2.0,3.0,76%,
STU0118,12/26/2023,0.0,3.0,,excused
STU0118,02 Jan 2024,,3.0,,
STU0118,09 Jan 2024,0.0,3.0,56%,family emergency
STU0118,2024-01-16,2.0,,0.62,
STU0149,2023-09-05,0.0,3.0,68%,excused
STU0149,09/12/2023,3.0,2.0,0.81,
STU0149,09/19/2023,0.0,3.0,0.82,
STU0149,"September 26, 2023",1.0,2.0,0.97,
STU0149,03 Oct 2023,3.0,2.0,44%,
STU0149,"October 10, 2023",,3.0,0.69,
STU0149,10/17/2023,1.0,2.0,,
STU0149,10/24/2023,3.0,3.0,,excused
STU0149,10/31/2023,3.0,2.0,0.77,
STU0149,2023-11-07,3.0,,0.68,
STU0149,11-14-2023,1.0,2.0,78%,
STU0149,21 Nov 2023,,2.0,,
STU0149,11-28-2023,,2.0,77%,
STU0149,05 Dec 2023,3.0,,,
STU0149,12/12/2023,2.0,3.0,42%,family emergency
STU0149,"December 19, 2023",0.0,3.0,,
STU0149,2023-12-26,3.0,3.0,0.81,
STU0149,01-02-2024,1.0,3.0,0.85,
STU0149,01/09/2024,2.0,2.0,65%,
STU0149,01-16-2024,3.0,3.0,,
STU0083,"September 05, 2023",2.0,2.0,,
STU0083,09-12-2023,1.0,3.0,,
STU0083,09-19-2023,1.0,2.0,0.49,
STU0083,09/26/2023,3.0,2.0,,
STU0083,"October 03, 2023",1.0,3.0,,sick
STU0083,10-10-2023,2.0,2.0,0.61,
STU0083,10/17/2023,0.0,3.0,,sick
STU0083,"October 24, 2023",1.0,2.0,,
STU0083,2023-10-31,2.0,,86%,
STU0083,07 Nov 2023,1.0,2.0,,
STU0083,14 Nov 2023,1.0,3.0,,
STU0083,"November 21, 2023",0.0,2.0,0.55,
STU0083,2023-11-28,,3.0,64%,
STU0083,2023-12-05,2.0,3.0,51%,
STU0083,2023-12-12,2.0,2.0,0.41,
STU0083,2023-12-19,,3.0,,excused
STU0083,"December 26, 2023",3.0,2.0,0.46,
STU0083,01/02/2024,1.0,,0.42,sick
STU0083,01/09/2024,1.0,3.0,79%,
STU0083,16 Jan 2024,0.0,2.0,55%,
STU0192,12 Sep 2023,0.0,2.0,,
STU0192,09/19/2023,2.0,3.0,80%,
STU0192,"October 03, 2023",3.0,3.0,,
STU0192,2023-10-10,2.0,2.0,,
STU0192,"October 17, 2023",0.0,3.0,,
STU0192,24 Oct 2023,1.0,,,
STU0192,2023-10-31,,2.0,0.95,
STU0192,2023-11-07,1.0,2.0,99%,
STU0192,11/14/2023,2.0,2.0,0.65,
STU0192,2023-11-28,3.0,,,
STU0192,12-05-2023,3.0,3.0,0.74,unexcused
STU0192,12 Dec 2023,1.0,2.0,0.47,
STU0192,2023-12-19,1.0,3.0,0.49,
STU0192,12/26/2023,,2.0,100%,
STU0192,2024-01-02,3.0,3.0,0.54,
STU0192,2024-01-09,1.0,3.0,,
STU0192,"January 16, 2024",1.0,3.0,,
STU0170,"September 12, 2023",0.0,2.0,81%,
STU0170,19 Sep 2023,3.0,2.0,,
STU0170,09/26/2023,1.0,2.0,0.63,
STU0170,2023-10-03,3.0,2.0,80%,
STU0170,10 Oct 2023,3.0,3.0,0.6,
STU0170,"October 17, 2023",1.0,3.0,88%,
STU0170,2023-10-24,3.0,,0.53,
STU0170,2023-10-31,1.0,2.0,0.85,
STU0170,07 Nov 2023,2.0,2.0,,
STU0170,2023-11-14,,2.0,99%,unexcused
STU0170,2023-11-21,2.0,3.0,70%,
STU0170,11/28/2023,1.0,2.0,,
STU0170,12/05/2023,0.0,2.0,0.46,
STU0170,2023-12-12,2.0,2.0,,sick
STU0170,2023-12-19,1.0,3.0,,
STU0170,2023-12-26,2.0,,0.93,
STU0170,"January 02, 2024",0.0,,59%,
STU0170,09 Jan 2024,0.0,2.0,0.99,
STU0170,16 Jan 2024,3.0,3.0,,
STU0212,09-05-2023,2.0,3.0,,
STU0212,2023-09-12,0.0,2.0,0.51,unexcused
STU0212,2023-09-19,0.0,3.0,,
STU0212,2023-09-26,,2.0,,
STU0212,10/03/2023,,2.0,52%,
STU0212,10/10/2023,3.0,2.0,0.7,
STU0212,10/17/2023,0.0,2.0,0.91,
STU0212,24 Oct 2023,2.0,3.0,0.84,
STU0212,2023-10-31,,3.0,,
STU0212,2023-11-07,2.0,3.0,,
STU0212,14 Nov 2023,2.0,3.0,1.0,
STU0212,21 Nov 2023,2.0,3.0,,
STU0212,12-05-2023,3.0,2.0,,
STU0212,2023-12-12,0.0,2.0,71%,
STU0212,"December 19, 2023",3.0,2.0,,sick
STU0212,12/26/2023,1.0,3.0,40%,
STU0212,02 Jan 2024,0.0,3.0,0.62,
STU0212,09 Jan 2024,1.0,3.0,97%,family emergency
STU0212,"January 16, 2024",2.0,2.0,0.87,
STU0111,05 Sep 2023,3.0,3.0,0.46,
STU0111,09-12-2023,0.0,2.0,49%,
STU0111,2023-09-19,2.0,3.0,60%,
STU0111,09/26/2023,0.0,2.0,,
STU0111,2023-10-03,2.0,2.0,,family emergency
STU0111,10 Oct 2023,3.0,3.0,57%,
STU0111,"October 17, 2023",1.0,2.0,75%,sick
STU0111,2023-10-24,3.0,3.0,0.77,
STU0111,"October 31, 2023",0.0,2.0,,unexcused
STU0111,11-07-2023,2.0,3.0,,
STU0111,11/14/2023,0.0,3.0,95%,
STU0111,2023-11-21,1.0,2.0,0.54,
STU0111,28 Nov 2023,0.0,3.0,84%,
STU0111,12 Dec 2023,0.0,2.0,0.62,
STU0111,"December 19, 2023",2.0,3.0,,
STU0111,2023-12-26,2.0,3.0,72%,
STU0111,01/02/2024,1.0,3.0,,
STU0111,01/09/2024,2.0,2.0,51%,
STU0111,16 Jan 2024,1.0,3.0,,excused
STU0284,"September 05, 2023",0.0,3.0,,
STU0284,09/12/2023,3.0,,41%,
STU0284,09/19/2023,0.0,2.0,,
STU0284,"September 26, 2023",2.0,,0.82,
STU0284,03 Oct 2023,3.0,2.0,44%,
STU0284,2023-10-10,2.0,2.0,,
STU0284,17 Oct 2023,1.0,2.0,63%,
STU0284,10-24-2023,1.0,3.0,63%,
STU0284,31 Oct 2023,3.0,,48%,
STU0284,11/07/2023,0.0,2.0,,
STU0284,11/14/2023,,3.0,0.99,
STU0284,11/21/2023,1.0,3.0,93%,
STU0284,11/28/2023,2.0,2.0,,unexcused
STU0284,"December 05, 2023",0.0,2.0,88%,
STU0284,12/12/2023,,3.0,,
STU0284,12-19-2023,,3.0,59%,
STU0284,26 Dec 2023,0.0,,95%,
STU0284,01-02-2024,3.0,,0.69,
STU0284,2024-01-09,3.0,3.0,42%,
STU0284,16 Jan 2024,,2.0,,
STU0128,"September 05, 2023",3.0,2.0,73%,
STU0128,09-12-2023,2.0,2.0,70%,family emergency
STU0128,09/19/2023,,2.0,77%,family emergency
STU0128,2023-09-26,0.0,2.0,0.97,sick
STU0128,"October 03, 2023",2.0,2.0,,
STU0128,10-10-2023,3.0,2.0,0.93,
STU0128,"October 17, 2023",2.0,,,
STU0128,10-24-2023,1.0,,,
STU0128,10-31-2023,1.0,2.0,,
STU0128,"November 07, 2023",0.0,2.0,0.49,
STU0128,14 Nov 2023,2.0,3.0,42%,
STU0128,11-21-2023,3.0,2.0,,
STU0128,11/28/2023,2.0,2.0,,unexcused
STU0128,12-12-2023,3.0,3.0,60%,
STU0128,"December 19, 2023",1.0,2.0,,
STU0128,12-26-2023,2.0,2.0,0.94,sick
STU0128,01-02-2024,3.0,3.0,0.51,
STU0128,01-09-2024,2.0,3.0,,
STU0128,01-16-2024,1.0,3.0,85%,
STU0007,"September 05, 2023",0.0,3.0,0.99,sick
STU0007,"September 12, 2023",2.0,3.0,,
STU0007,09-19-2023,0.0,2.0,0.88,
STU0007,09/26/2023,0.0,3.0,,sick
STU0007,10-03-2023,3.0,2.0,,
STU0007,10-10-2023,1.0,3.0,0.77,
STU0007,17 Oct 2023,,3.0,0.68,
STU0007,10-24-2023,3.0,3.0,0.54,
STU0007,31 Oct 2023,,3.0,,
STU0007,07 Nov 2023,1.0,2.0,0.82,
STU0007,11-14-2023,1.0,2.0,,
STU0007,2023-11-28,3.0,3.0,86%,
STU0007,12-05-2023,2.0,3.0,,
STU0007,2023-12-12,3.0,,,
STU0007,12-19-2023,3.0,2.0,0.57,
STU0007,"January 02, 2024",0.0,2.0,0.68,
STU0007,01-16-2024,1.0,3.0,0.62,
STU0019,09-12-2023,0.0,2.0,0.5,unexcused
STU0019,"September 19, 2023",2.0,3.0,0.47,
STU0019,2023-09-26,2.0,3.0,,
STU0019,"October 03, 2023",2.0,3.0,0.71,
STU0019,10-24-2023,0.0,3.0,41%,
STU0019,10/31/2023,3.0,2.0,,unexcused
STU0019,07 Nov 2023,3.0,3.0,0.68,unexcused
STU0019,11-14-2023,,3.0,,
STU0019,21 Nov 2023,0.0,,,
STU0019,11-28-2023,,2.0,68%,
STU0019,12-05-2023,,2.0,,
STU0019,2023-12-12,1.0,3.0,,
STU0019,2023-12-19,3.0,,0.58,
STU0019,12/26/2023,3.0,3.0,0.53,sick
STU0019,01/02/2024,3.0,2.0,,
STU0019,09 Jan 2024,2.0,3.0,,
STU0019,"January 16, 2024",1.0,2.0,,
STU0011,09-12-2023,0.0,2.0,55%,
STU0011,19 Sep 2023,3.0,3.0,79%,
STU0011,2023-09-26,3.0,3.0,41%,
STU0011,03 Oct 2023,3.0,3.0,,
STU0011,10 Oct 2023,,2.0,74%,excused
STU0011,10/17/2023,,,93%,
STU0011,2023-10-24,1.0,,1.0,unexcused
STU0011,31 Oct 2023,0.0,3.0,,
STU0011,11/07/2023,0.0,2.0,94%,
STU0011,"November 14, 2023",2.0,3.0,90%,
STU0011,11/21/2023,,2.0,1.0,sick
STU0011,"November 28, 2023",1.0,3.0,,
STU0011,05 Dec 2023,0.0,3.0,42%,
STU0011,12-12-2023,3.0,3.0,82%,
STU0011,12/19/2023,2.0,3.0,0.6,
STU0011,12/26/2023,1.0,2.0,,
STU0011,"January 02, 2024",1.0,3.0,,family emergency
STU0011,"January 09, 2024",1.0,2.0,75%,
STU0011,16 Jan 2024,0.0,3.0,,sick
STU0270,09-05-2023,2.0,2.0,77%,
STU0270,19 Sep 2023,1.0,,91%,
STU0270,10-03-2023,0.0,2.0,0.73,
STU0270,"October 10, 2023",,,,unexcused
STU0270,10/17/2023,2.0,3.0,0.66,
STU0270,"October 24, 2023",,2.0,,sick
STU0270,31 Oct 2023,2.0,3.0,79%,sick
STU0270,07 Nov 2023,1.0,3.0,0.95,
STU0270,"November 14, 2023",1.0,,,
STU0270,11/21/2023,1.0,3.0,,
STU0270,"November 28, 2023",3.0,3.0,,
STU0270,12-05-2023,2.0,2.0,0.92,
STU0270,"December 12, 2023",1.0,,,
STU0270,2023-12-19,,3.0,84%,
STU0270,2023-12-26,,3.0,41%,
STU0270,"January 02, 2024",0.0,2.0,0.86,
STU0053,"September 05, 2023",0.0,3.0,46%,
STU0053,2023-09-12,2.0,2.0,,
STU0053,19 Sep 2023,0.0,,,
STU0053,10/03/2023,1.0,2.0,73%,
STU0053,"October 10, 2023",,2.0,,
STU0053,"October 17, 2023",2.0,2.0,,
STU0053,10-24-2023,1.0,2.0,0.55,unexcused
STU0053,31 Oct 2023,1.0,3.0,0.74,
STU0053,11/07/2023,3.0,2.0,66%,
STU0053,11/14/2023,1.0,2.0,0.91,
STU0053,21 Nov 2023,3.0,2.0,,
STU0053,28 Nov 2023,0.0,2.0,0.61,
STU0053,05 Dec 2023,2.0,2.0,0.48,
STU0053,"December 12, 2023",,3.0,,sick
STU0053,2023-12-26,1.0,3.0,,
STU0053,01/02/2024,3.0,2.0,,
STU0053,2024-01-16,2.0,3.0,0.88,
STU0257,"September 05, 2023",,3.0,0.93,
STU0257,09-12-2023,3.0,2.0,0.46,
STU0257,2023-09-19,0.0,3.0,0.53,
STU0257,26 Sep 2023,0.0,3.0,0.46,excused
STU0257,"October 03, 2023",,3.0,,family emergency
STU0257,10 Oct 2023,,2.0,,sick
STU0257,10/17/2023,0.0,2.0,0.52,excused
STU0257,10/24/2023,1.0,,,
STU0257,10-31-2023,3.0,2.0,0.5,
STU0257,07 Nov 2023,,2.0,46%,
STU0257,"November 14, 2023",2.0,2.0,,
STU0257,21 Nov 2023,2.0,2.0,0.88,
STU0257,2023-11-28,0.0,2.0,,
STU0257,"December 05, 2023",,2.0,0.54,
STU0257,2023-12-12,1.0,2.0,56%,unexcused
STU0257,12/26/2023,1.0,2.0,,family emergency
STU0257,01-02-2024,3.0,3.0,0.6,
STU0257,2024-01-09,0.0,,0.51,
STU0204,"September 05, 2023",0.0,3.0,,
STU0204,09/12/2023,3.0,2.0,,
STU0204,"September 19, 2023",3.0,2.0,0.4,
STU0204,"September 26, 2023",2.0,3.0,0.47,
STU0204,2023-10-03,2.0,2.0,,
STU0204,10/10/2023,3.0,3.0,,
STU0204,2023-10-24,0.0,3.0,,
STU0204,10/31/2023,3.0,2.0,0.63,
STU0204,2023-11-07,1.0,3.0,,
STU0204,11/14/2023,3.0,2.0,73%,sick
STU0204,21 Nov 2023,0.0,3.0,50%,sick
STU0204,2023-11-28,1.0,2.0,,unexcused
STU0204,2023-12-05,0.0,3.0,,
STU0204,12/12/2023,0.0,2.0,0.57,
STU0204,2023-12-19,2.0,2.0,0.57,
STU0204,"December 26, 2023",2.0,2.0,,
STU0204,2024-01-02,0.0,2.0,0.45,
STU0204,01/09/2024,0.0,2.0,,family emergency
STU0204,16 Jan 2024,0.0,3.0,,
STU0249,"September 12, 2023",0.0,,,
STU0249,19 Sep 2023,2.0,2.0,0.94,
STU0249,09-26-2023,1.0,2.0,,
STU0249,10/03/2023,1.0,3.0,48%,
STU0249,"October 10, 2023",,3.0,0.6,
STU0249,10-17-2023,1.0,3.0,,
STU0249,24 Oct 2023,3.0,2.0,0.46,excused
STU0249,2023-10-31,1.0,3.0,0.45,
STU0249,11/07/2023,0.0,2.0,43%,
STU0249,14 Nov 2023,3.0,2.0,93%,
STU0249,"November 21, 2023",0.0,3.0,55%,
STU0249,28 Nov 2023,0.0,3.0,,
STU0249,2023-12-05,2.0,2.0,0.57,family emergency
STU0249,12/12/2023,3.0,3.0,,
STU0249,19 Dec 2023,0.0,3.0,77%,
STU0249,2023-12-26,,3.0,0.88,
STU0249,01/02/2024,2.0,3.0,0.74,
STU0249,01/09/2024,3.0,3.0,,
STU0249,01/16/2024,1.0,3.0,0.94,
STU0022,09-05-2023,0.0,3.0,,
STU0022,09/12/2023,3.0,3.0,,
STU0022,19 Sep 2023,0.0,,0.69,
STU0022,"September 26, 2023",2.0,2.0,57%,
STU0022,"October 03, 2023",2.0,2.0,50%,
STU0022,10 Oct 2023,3.0,,93%,
STU0022,"October 17, 2023",2.0,,0.44,
STU0022,2023-10-24,,3.0,0.92,
STU0022,2023-10-31,2.0,3.0,68%,
STU0022,07 Nov 2023,1.0,3.0,0.76,excused
STU0022,14 Nov 2023,3.0,2.0,,
STU0022,11/21/2023,1.0,,99%,
STU0022,28 Nov 2023,0.0,2.0,0.52,
STU0022,12 Dec 2023,1.0,3.0,76%,
STU0022,12-26-2023,2.0,2.0,,
STU0022,09 Jan 2024,2.0,2.0,0.52,
STU0022,16 Jan 2024,3.0,2.0,0.45,family emergency
STU0298,09/05/2023,0.0,3.0,,
STU0298,"September 12, 2023",3.0,3.0,,excused
STU0298,09-19-2023,,2.0,0.67,
STU0298,26 Sep 2023,3.0,2.0,65%,
STU0298,2023-10-03,2.0,3.0,0.45,
STU0298,2023-10-10,3.0,,0.6,
STU0298,"October 17, 2023",,2.0,,
STU0298,10-24-2023,1.0,3.0,,excused
STU0298,"October 31, 2023",1.0,3.0,84%,
STU0298,"November 07, 2023",2.0,2.0,,family emergency
STU0298,2023-11-14,,2.0,68%,
STU0298,2023-11-21,3.0,2.0,,
STU0298,"November 28, 2023",1.0,3.0,0.83,
STU0298,2023-12-05,2.0,2.0,0.51,
STU0298,12-19-2023,3.0,3.0,,sick
STU0298,12-26-2023,2.0,2.0,77%,sick
STU0298,01/02/2024,1.0,2.0,94%,unexcused
STU0298,"January 09, 2024",0.0,2.0,98%,sick
STU0298,01/16/2024,2.0,2.0,,
STU0145,2023-09-05,1.0,2.0,0.63,
STU0145,"September 12, 2023",,3.0,58%,
STU0145,"September 19, 2023",0.0,2.0,0.76,
STU0145,2023-09-26,0.0,2.0,,
STU0145,10/03/2023,2.0,2.0,,
STU0145,2023-10-10,2.0,2.0,46%,
STU0145,17 Oct 2023,3.0,2.0,0.71,unexcused
STU0145,10/31/2023,2.0,2.0,98%,sick
STU0145,07 Nov 2023,3.0,3.0,,sick
STU0145,11-14-2023,2.0,3.0,,
STU0145,"November 21, 2023",0.0,3.0,0.42,
STU0145,11/28/2023,,2.0,0.93,
STU0145,2023-12-12,1.0,3.0,46%,
STU0145,"December 19, 2023",3.0,2.0,90%,
STU0145,2023-12-26,1.0,2.0,0.57,unexcused
STU0145,2024-01-02,1.0,2.0,,
STU0145,2024-01-16,1.0,3.0,,unexcused
STU0155,2023-09-05,3.0,2.0,60%,
STU0155,09/12/2023,3.0,2.0,,family emergency
STU0155,2023-09-19,,2.0,81%,
STU0155,09/26/2023,1.0,2.0,,unexcused
STU0155,2023-10-03,3.0,2.0,0.54,
STU0155,10/10/2023,1.0,3.0,,
STU0155,17 Oct 2023,2.0,2.0,,
STU0155,10/24/2023,3.0,,0.74,
STU0155,31 Oct 2023,3.0,2.0,0.94,
STU0155,11/07/2023,,2.0,,
STU0155,28 Nov 2023,3.0,3.0,,
STU0155,12/05/2023,3.0,2.0,0.57,
STU0155,"December 12, 2023",,2.0,,
STU0155,"December 19, 2023",1.0,3.0,52%,
STU0155,2024-01-02,3.0,2.0,,
STU0155,01/09/2024,0.0,2.0,69%,
STU0155,2024-01-16,,,0.95,
STU0013,"September 05, 2023",3.0,2.0,0.85,
STU0013,"September 12, 2023",0.0,3.0,,
STU0013,2023-09-19,3.0,2.0,,
STU0013,09/26/2023,0.0,2.0,,excused
STU0013,2023-10-03,1.0,3.0,0.82,unexcused
STU0013,10-10-2023,1.0,3.0,64%,
STU0013,10/24/2023,0.0,3.0,,
STU0013,10/31/2023,0.0,2.0,41%,unexcused
STU0013,2023-11-07,2.0,2.0,0.81,
STU0013,05 Dec 2023,3.0,3.0,,
STU0013,12-12-2023,2.0,2.0,,
STU0013,"January 09, 2024",,2.0,,
STU0013,2024-01-16,3.0,2.0,,
STU0295,2023-09-05,2.0,,,
STU0295,2023-09-12,0.0,3.0,57%,
STU0295,2023-09-19,0.0,2.0,83%,
STU0295,2023-09-26,1.0,2.0,1.0,unexcused
STU0295,03 Oct 2023,2.0,3.0,,unexcused
STU0295,10 Oct 2023,,3.0,59%,excused
STU0295,2023-10-17,3.0,3.0,,
STU0295,"October 24, 2023",0.0,3.0,,
STU0295,"October 31, 2023",0.0,3.0,71%,
STU0295,2023-11-07,1.0,3.0,,
STU0295,2023-11-14,1.0,3.0,76%,unexcused
STU0295,11/21/2023,2.0,2.0,0.67,
STU0295,11/28/2023,0.0,2.0,,
STU0295,2023-12-05,,2.0,,
STU0295,"December 12, 2023",3.0,,,
STU0295,"December 19, 2023",0.0,2.0,97%,
STU0295,12-26-2023,1.0,3.0,0.62,excused
STU0295,2024-01-02,3.0,3.0,0.9,
STU0295,2024-01-09,1.0,3.0,0.75,
STU0295,16 Jan 2024,3.0,3.0,,
STU0127,2023-09-05,,,0.94,
STU0127,"September 12, 2023",1.0,3.0,,
STU0127,09-19-2023,0.0,3.0,79%,unexcused
STU0127,26 Sep 2023,0.0,3.0,,
STU0127,10-03-2023,1.0,3.0,,
STU0127,"October 10, 2023",1.0,3.0,0.56,
STU0127,17 Oct 2023,0.0,,0.44,
STU0127,"October 24, 2023",1.0,2.0,53%,
STU0127,2023-10-31,2.0,2.0,0.87,sick
STU0127,11-07-2023,3.0,2.0,0.66,
STU0127,21 Nov 2023,0.0,3.0,,
STU0127,"November 28, 2023",0.0,2.0,,
STU0127,2023-12-05,1.0,2.0,100%,
STU0127,12/12/2023,3.0,3.0,76%,
STU0127,12-19-2023,,2.0,,
STU0127,2023-12-26,,,0.81,
STU0127,02 Jan 2024,1.0,2.0,0.83,
STU0127,09 Jan 2024,,2.0,0.79,
STU0018,05 Sep 2023,2.0,3.0,60%,excused
STU0018,09-12-2023,3.0,3.0,0.6,sick
STU0018,09/19/2023,0.0,2.0,91%,unexcused
STU0018,26 Sep 2023,2.0,,,
STU0018,03 Oct 2023,1.0,2.0,88%,
STU0018,10 Oct 2023,1.0,2.0,51%,
STU0018,"October 17, 2023",2.0,3.0,,
STU0018,24 Oct 2023,3.0,2.0,,
STU0018,2023-10-31,2.0,3.0,,
STU0018,11/07/2023,2.0,3.0,,
STU0018,11/14/2023,2.0,2.0,,
STU0018,11-21-2023,,3.0,,
STU0018,2023-11-28,0.0,2.0,68%,
STU0018,05 Dec 2023,0.0,3.0,,
STU0018,12/12/2023,3.0,2.0,,
STU0018,12/19/2023,0.0,,0.77,
STU0018,"December 26, 2023",1.0,2.0,,
STU0018,09 Jan 2024,3.0,2.0,51%,
STU0018,16 Jan 2024,0.0,2.0,0.93,
STU0140,"September 05, 2023",,3.0,,
STU0140,"September 12, 2023",3.0,3.0,0.72,
STU0140,09-19-2023,3.0,2.0,93%,
STU0140,"October 03, 2023",3.0,2.0,,
STU0140,10/10/2023,0.0,2.0,0.8,unexcused
STU0140,10/17/2023,0.0,2.0,,
STU0140,07 Nov 2023,3.0,2.0,,
STU0140,14 Nov 2023,,2.0,0.51,
STU0140,11-21-2023,1.0,2.0,90%,
STU0140,11-28-2023,3.0,3.0,0.87,
STU0140,12/05/2023,0.0,3.0,77%,
STU0140,2023-12-12,3.0,3.0,,
STU0140,2023-12-19,1.0,2.0,46%,
STU0140,2023-12-26,0.0,2.0,,
STU0140,02 Jan 2024,1.0,3.0,74%,
STU0140,09 Jan 2024,3.0,2.0,77%,family emergency
STU0140,16 Jan 2024,0.0,2.0,48%,
STU0064,"September 05, 2023",1.0,3.0,,unexcused
STU0064,09-12-2023,2.0,2.0,0.67,
STU0064,09/19/2023,,2.0,77%,
STU0064,"September 26, 2023",3.0,2.0,96%,
STU0064,"October 03, 2023",2.0,3.0,60%,
STU0064,10/10/2023,2.0,2.0,,
STU0064,10-17-2023,3.0,2.0,48%,family emergency
STU0064,"October 24, 2023",2.0,,,
STU0064,31 Oct 2023,,,,
STU0064,"November 07, 2023",,3.0,94%,excused
STU0064,11-14-2023,1.0,2.0,,
